City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
390,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
391,Kant,IN,88.92,clear sky,27.8,79.8,Haseeb Khan shatreng
392,Leskolovo,RU,32.86,few clouds,60.2634,30.4546,"Kp ""5 Kholmov"""
393,Lakheri,IN,93.52,clear sky,25.6667,76.1667,प्रहलाद जी सैनी
394,Chimbote,PE,71.65,broken clouds,-9.0853,-78.5783,Hotel Briliá
395,Tuntum,BR,84.69,scattered clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
396,Yamaga,JP,49.84,overcast clouds,33.0167,130.6833,山鹿温泉 清流荘
397,Lavos,PT,66.31,scattered clouds,40.0936,-8.8283,Guest House GO Surf hostel
399,Kurchum,KZ,48.67,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
400,Vicuna,CL,77.77,clear sky,-30.0319,-70.7081,Los Mosaicos
401,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
402,Hofn,IS,46.06,light rain,64.2539,-15.2082,Hótel Höfn
403,Sept-Iles,CA,39.72,broken clouds,50.2001,-66.3821,Comfort Inn
404,The Pas,CA,21.22,few clouds,53.8251,-101.2541,Wescana Inn
405,Come,BJ,85.24,overcast clouds,6.4076,1.882,Hôtel la concorde chez Mehinnou
406,Longyearbyen,SJ,26.44,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
407,Zyryanovsk,KZ,34.66,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
408,Mlonggo,ID,79.0,broken clouds,-6.5333,110.7,Asia Metal Art
409,Katobu,ID,75.63,light rain,-4.9408,122.5276,La Ode Husein
410,Nicoya,CR,93.27,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
411,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
413,Aksu,CN,56.86,clear sky,41.1231,80.2644,Pudong Holiday Hotel
414,Manzhouli,CN,32.59,broken clouds,49.6,117.4333,Angala International Youth Hostel
415,Codo,BR,84.27,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
416,Tottenham,AU,59.4,clear sky,-32.2333,147.35,Blue Gum Lodge
417,Sarab,IR,54.64,few clouds,38.6066,44.9883,مسجد امام رضا
418,Jacareacanga,BR,84.67,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
420,Tautira,PF,80.85,few clouds,-17.7333,-149.15,Pension Oaoa
421,Kilindoni,TZ,81.84,moderate rain,-7.9139,39.6668,Bustani B&B
422,Sao Miguel Do Araguaia,BR,86.77,few clouds,-13.275,-50.1628,Hotel Executivo Palace
423,Healdsburg,US,57.97,overcast clouds,38.6105,-122.8692,Best Western Dry Creek Inn
425,Anshun,CN,43.25,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
426,Moranbah,AU,63.66,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
427,Dunmore Town,BS,76.28,overcast clouds,25.5,-76.65,Coral Sands Hotel
428,Puerto Escondido,MX,88.39,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Kulhudhuffushi,MV,84.9,few clouds,6.6221,73.07,Haajy Guest House 1
430,General Pico,AR,74.75,very heavy rain,-35.6566,-63.7568,Euskadi Hotel
431,Lewistown,US,65.8,broken clouds,40.5992,-77.5714,Quality Inn & Suites
432,Ahome,MX,75.15,overcast clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
433,Inverell,AU,51.15,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
434,Klamath Falls,US,36.86,moderate rain,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
435,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
436,Zhengjiatun,CN,48.69,scattered clouds,43.5064,123.5064,Siping Hexiang Hotel
437,Huarmey,PE,72.57,overcast clouds,-10.0681,-78.1522,Hotel Miramar
438,Harper,LR,82.35,light rain,4.375,-7.7169,Screensaver
439,Malartic,CA,30.31,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
441,Matamoros,MX,85.15,overcast clouds,25.5333,-103.25,Quinta Belem
442,Zalantun,CN,34.84,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
445,Dhidhdhoo,MV,84.99,few clouds,6.8833,73.1,Dhidhoo beach
446,Plettenberg Bay,ZA,60.53,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
448,Minna,NG,94.71,few clouds,9.6139,6.5569,Royal Park hotel & suites
449,Wukari,NG,93.36,broken clouds,7.85,9.7833,Elimtop
450,Pinerolo,IT,76.06,broken clouds,44.8833,7.35,Glicini Hotel
451,Atar,MR,99.28,clear sky,20.5169,-13.0499,Oumou Elghoura
452,San-Pedro,CI,82.04,overcast clouds,4.7485,-6.6363,Hotel Maria
453,Menongue,AO,67.35,light rain,-14.6585,17.691,Ritz Lauca
454,Liepaja,LV,42.78,clear sky,56.5419,21.0367,Promenade Hotel
455,Bonavista,CA,39.65,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
456,Shahr-E Babak,IR,70.14,overcast clouds,30.1165,55.1186,Duna Ecolodge
457,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
458,Gweta,BW,74.3,light rain,-20.1833,25.2333,Gweta Lodge
460,Rusape,ZW,63.9,light rain,-18.5278,32.1284,Surrey Lodge
461,Sovetskiy,RU,29.71,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
462,Andenes,NO,42.78,overcast clouds,69.3143,16.1194,Hotell Marena
463,Boa Viagem,BR,90.59,broken clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
464,Karonga,MW,74.44,light rain,-9.9333,33.9333,Sumuka Inn
465,Port Macquarie,AU,55.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
466,Kalmunai,LK,80.1,broken clouds,7.4167,81.8167,VS Villa
467,El Reno,US,51.55,overcast clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
470,Nemuro,JP,32.34,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
472,Caidian,CN,57.33,broken clouds,30.5833,114.0333,City Comfort Inn Wuhan Caidian Square
475,Griffith,US,45.27,clear sky,41.5284,-87.4237,Apartment above Depot Bar
476,Karratha,AU,84.09,few clouds,-20.7377,116.8463,ibis Styles Karratha
477,Agua Dulce,MX,83.98,few clouds,18.1333,-94.1333,Hotel Victoria
478,Capao Bonito,BR,70.61,clear sky,-24.0058,-48.3494,HOTEL PASSARIM
479,Pangnirtung,CA,3.2,few clouds,66.1451,-65.7125,Kilabuk Lodge
481,Girua,BR,68.49,clear sky,-28.0283,-54.3497,Colinas Hotel
482,Nador,MA,77.07,clear sky,35.174,-2.9287,Hôtel La Giralda
483,Castlegar,CA,38.98,broken clouds,49.2998,-117.6689,Surestay Hotel by Best Western Castlegar
484,Luoyang,CN,51.75,overcast clouds,34.6836,112.4536,易家国际青年旅舍
485,Shingu,JP,48.67,broken clouds,33.7333,135.9833,Shingu UI Hotel
486,Sao Felix Do Xingu,BR,86.92,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
487,Nenjiang,CN,31.33,clear sky,49.1833,125.2167,Nenjiang Apartment
488,Aransas Pass,US,82.22,broken clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
489,Santa Cruz,BO,74.66,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
490,Pandamatenga,BW,72.43,light rain,-18.5278,25.627,Wildtrack Safaris Eco Lodge
491,Sakaiminato,JP,40.98,broken clouds,35.55,133.2333,Matsuya
492,Kaspiysk,RU,48.24,clear sky,42.8816,47.6392,Alima Hostel
494,Roald,NO,54.52,clear sky,62.5833,6.1333,Flem Cabins
495,Sola,VU,81.57,overcast clouds,-13.8833,167.55,Leumerus Bungalows
496,Caceres,ES,77.4,clear sky,39.522,-6.3748,Ahc Hoteles
